    4.123559     3.754047     2.827414     2.975122     3.042320     4.927017     3.569244     3.123268     5.759150     4.700258     4.329297     4.477198     2.848577     4.678402     3.480544      1
    4.123559     3.754047     2.827414     2.975122     3.042320     3.484359     3.716360     2.200183     4.865658     3.579269     3.597471     4.454955     5.551165     4.682683     3.221823      1
    4.123559     3.754047     2.827414     2.975122     3.042320     5.209319     4.025572     2.416466     5.106690     5.881804     3.552542     4.760682     3.769263     3.607138     3.853132      1
    4.123559     3.754047     2.827414     2.975122     3.042320     3.777327     2.601702     2.600930     4.142291     4.111085     3.052100     3.288172     3.649328     4.363976     3.120772      1
    4.123559     3.754047     2.827414     2.975122     3.042320     2.822955     4.917407     2.179303     4.984553     4.600078     2.592308     5.678996     2.271035     3.401883     3.842651      1
    4.123559     3.754047     2.827414     2.975122     3.042320     2.874990     4.417907     3.370835     4.902819     4.055922     3.082656     4.679951     5.264214     5.139966     2.815425      1
    4.123559     3.754047     2.827414     2.975122     3.042320     4.399279     5.836183     5.833981     7.088255     4.496880     4.184377     4.928690     3.832915     5.210060     3.273848      1
    4.123559     3.754047     2.827414     2.975122     3.042320     3.999338     2.584864     3.574207     6.024145     4.373719     4.064089     5.166207     3.875455     4.713772     3.126467      1
    4.123559     3.754047     2.827414     2.975122     3.042320     2.829229     2.416726     2.399534     4.119966     4.322336     3.642032     3.485148     2.525079     3.424733     3.647887      1
    4.123559     3.754047     2.827414     2.975122     3.042320     4.534257     3.428733     1.756436     4.134776     3.912015     2.777390     3.454632     1.163129     2.631818     3.895862      1
    2.399403     2.404679     1.710969     2.265246     2.477255     5.024072     3.661601     5.186708     2.577130     2.425656     3.488302     3.613495     3.269670     4.296437     3.446137      2
    2.399403     2.404679     1.710969     2.265246     2.477255     2.470240     3.732475     1.540100     1.182058     2.302399     3.348598     3.002835     2.924702     4.459933     3.354074      2
    2.399403     2.404679     1.710969     2.265246     2.477255     2.259750     2.084769     3.453976     2.648178     1.261294     1.567981     2.618250     2.951385     3.877955     0.216899      2
    2.399403     2.404679     1.710969     2.265246     2.477255     3.383971     3.978517     1.671304     2.580964     2.294336     2.689270     3.474268     1.403080     3.542746     1.984132      2
    2.399403     2.404679     1.710969     2.265246     2.477255     3.405628     2.855392     4.397883     4.378121     0.776553     2.093631     4.107470     1.747677     4.623289     2.551348      2
    2.399403     2.404679     1.710969     2.265246     2.477255     2.925394     3.381118     4.996236     2.015839     3.169805     0.946151     3.950412     3.671060     5.768592     1.010641      2
    2.399403     2.404679     1.710969     2.265246     2.477255     3.722530     3.865699     3.609226     2.477425     2.850572     2.760766     3.461374     2.755273     2.820453     3.200017      2
